Category,Auto Part,Price
Safety & Restraints,Seat Belt Pretensioner,$150–$400
Safety & Restraints,Child Seat Anchor,$20–$50
Safety & Restraints,Crash Sensor,$100–$250
Safety & Restraints,Steering Wheel Airbag,$400–$800
Safety & Restraints,Side Curtain Airbag,$500–$1000
Safety & Restraints,Passenger Airbag,$500–$1000
Safety & Restraints,Driver Airbag,$500–$1000
Safety & Restraints,Airbag Control Module,$500–$1200
Body & Exterior,Fender,$200–$500
Body & Exterior,Hood,$300–$700
Body & Exterior,Bumper,$300–$700
Body & Exterior,Grille,$100–$300
Body & Exterior,Trunk Lid,$400–$800
Body & Exterior,Roof Panel,$500–$1200
Body & Exterior,Quarter Panel,$400–$800
Body & Exterior,Door,$500–$1200
Body & Exterior,Running Board,$200–$500
Body & Exterior,Spoiler,$150–$400
Interior & Comfort,Steering Wheel,$150–$400
Interior & Comfort,Shift Knob,$20–$60
Interior & Comfort,Pedal Assembly,$100–$250
Interior & Comfort,Center Console,$200–$500
Interior & Comfort,Armrest,$50–$150
Interior & Comfort,Seat Frame,$200–$500
Interior & Comfort,Seat Cover,$50–$150
Interior & Comfort,Headrest,$50–$150
Interior & Comfort,Floor Mat Set,$50–$150
Interior & Comfort,Door Panel,$200–$500
Glass & Mirrors,Windshield,$300–$700
Glass & Mirrors,Rear Window,$200–$500
Glass & Mirrors,Side Window,$150–$400
Glass & Mirrors,Window Motor,$100–$250
Glass & Mirrors,Mirror Glass,$50–$150
Glass & Mirrors,Mirror Motor,$100–$250
Glass & Mirrors,Mirror Housing,$100–$250
Glass & Mirrors,Sunroof Glass,$400–$800
Glass & Mirrors,Sunroof Motor,$200–$500
Glass & Mirrors,Sunroof Seal,$50–$150
Wheels & Tires,Alloy Wheel,$150–$400 each
Wheels & Tires,Steel Wheel,$80–$200 each
Wheels & Tires,Hubcap,$20–$60
Wheels & Tires,Lug Nut,$2–$5 each
Wheels & Tires,Wheel Stud,$5–$15 each
Wheels & Tires,Wheel Spacer,$50–$150
Wheels & Tires,Wheel Hub,$100–$250
Wheels & Tires,Tire Pressure Sensor,$50–$150
Wheels & Tires,Tire Valve Stem,$5–$15
Wheels & Tires,Tire Repair Kit,$20–$50
Drivetrain Extras,Axle Shaft,$150–$400
Drivetrain Extras,Axle Bearing,$50–$150
Drivetrain Extras,Axle Seal,$20–$50
Drivetrain Extras,Propeller Shaft,$400–$800
Drivetrain Extras,Half Shaft,$150–$400
Drivetrain Extras,Pinion Gear,$100–$250
Drivetrain Extras,Ring Gear,$150–$300
Drivetrain Extras,Clutch Slave Cylinder,$50–$150
Drivetrain Extras,Clutch Master Cylinder,$100–$250
Drivetrain Extras,Throwout Bearing,$30–$80
Specialty Maintenance,Timing Chain,$100–$300
Specialty Maintenance,Timing Chain Tensioner,$50–$150
Specialty Maintenance,Valve Cover,$100–$250
Specialty Maintenance,Valve Cover Gasket,$20–$50
Specialty Maintenance,Intake Manifold,$300–$700
Specialty Maintenance,Intake Manifold Gasket,$20–$50
Specialty Maintenance,Exhaust Manifold Gasket,$20–$50
Specialty Maintenance,Oil Pump,$150–$400
Specialty Maintenance,Oil Pressure Sensor,$50–$150
Specialty Maintenance,Oil Cooler,$200–$500
Hardware & Fasteners,Bolt Set,$20–$60
Hardware & Fasteners,Nut Set,$10–$30
Hardware & Fasteners,Washer Set,$10–$30
Hardware & Fasteners,Stud Kit,$20–$50
Hardware & Fasteners,Retaining Clip,$5–$15
Hardware & Fasteners,Spring Clip,$5–$15
Hardware & Fasteners,Cotter Pin,$1–$5 each
Hardware & Fasteners,Hose Clamp,$5–$15
Hardware & Fasteners,Exhaust Clamp,$10–$30
Hardware & Fasteners,Brake Line Fitting,$10–$25
Performance Parts,Cold Air Intake Kit,$200–$500
Performance Parts,Performance Exhaust,$500–$1200
Performance Parts,Performance Camshaft,$300–$700
Performance Parts,Performance Piston,$100–$250 each
Performance Parts,Performance Crankshaft,$500–$1000
Performance Parts,Performance ECU Tune,$300–$800
Performance Parts,Performance Suspension Kit,$800–$1500
Performance Parts,Performance Brake Kit,$800–$1500
Performance Parts,Performance Clutch Kit,$500–$1000
Performance Parts,Performance Turbo Kit,$2000–$5000
Fluids & Chemicals,Engine Oil Additive,$10–$30
Fluids & Chemicals,Fuel Additive,$10–$30
Fluids & Chemicals,Coolant Additive,$10–$30
Fluids & Chemicals,Brake Cleaner,$5–$15
Fluids & Chemicals,Degreaser,$10–$20
Fluids & Chemicals,Thread Locker,$5–$15
Fluids & Chemicals,Anti-Seize Compound,$5–$15
Fluids & Chemicals,Silicone Sealant,$5–$15
Fluids & Chemicals,Grease Gun,$20–$50
Fluids & Chemicals,Shop Towels,$10–$20
Tools & Equipment,Jack,$50–$150
Tools & Equipment,Jack Stand,$30–$80 each
Tools & Equipment,Lug Wrench,$20–$50
Tools & Equipment,Torque Wrench,$50–$150
Tools & Equipment,Socket Set,$50–$150
Tools & Equipment,Screwdriver Set,$20–$60
Tools & Equipment,Pliers Set,$20–$60
Tools & Equipment,Hammer,$10–$30
Tools & Equipment,Impact Wrench,$150–$400
Tools & Equipment,Air Compressor,$200–$600
Miscellaneous,License Plate Frame,$10–$30
Miscellaneous,Key Fob,$50–$150
Miscellaneous,Remote Starter,$200–$500
Miscellaneous,Alarm System,$200–$500
Miscellaneous,Dash Camera,$100–$300
Miscellaneous,Backup Camera,$100–$300
Miscellaneous,Parking Sensor,$50–$150
Miscellaneous,Trailer Hitch,$200–$500
Miscellaneous,Trailer Wiring Harness,$50–$150
Miscellaneous,Roof Rack,$200–$500
Advanced Electronics,ECU Reprogramming Kit,$300–$800
Advanced Electronics,OBD-II Scanner,$50–$150
Advanced Electronics,Diagnostic Tool,$200–$600
Advanced Electronics,Telematics Module,$300–$700
Advanced Electronics,Heads-Up Display,$400–$800
Advanced Electronics,Infotainment Screen,$500–$1200
Advanced Electronics,Amplifier Module,$150–$400
Advanced Electronics,Bluetooth Module,$100–$250
Advanced Electronics,Wi-Fi Hotspot Module,$200–$500
Advanced Electronics,Dash Wiring Harness,$200–$600
Hybrid/EV Components,High-Voltage Battery Pack,$3000–$7000
Hybrid/EV Components,Battery Cooling System,$500–$1200
Hybrid/EV Components,Inverter,$1000–$2500
Hybrid/EV Components,DC-DC Converter,$500–$1200
Hybrid/EV Components,Onboard Charger,$1000–$2500
Hybrid/EV Components,Charging Port,$300–$700
Hybrid/EV Components,Electric Motor,$2000–$5000
Hybrid/EV Components,Motor Controller,$1000–$2500
Hybrid/EV Components,Regenerative Braking Module,$500–$1200
Hybrid/EV Components,Power Distribution Unit,$800–$2000
Specialty Body Parts,Convertible Top Motor,$300–$700
Specialty Body Parts,Convertible Top Fabric,$500–$1500
Specialty Body Parts,Door Seal,$50–$150
Specialty Body Parts,Weatherstrip,$20–$60
Specialty Body Parts,Body Molding,$50–$150
Specialty Body Parts,Rock Panel,$200–$500
Specialty Body Parts,Wheel Arch Trim,$100–$250
Specialty Body Parts,Door Sill Plate,$50–$150
Specialty Body Parts,Roof Rail,$200–$500
Specialty Body Parts,Body Panel Reinforcement,$300–$700
Glass & Visibility,Rain Sensor,$100–$250
Glass & Visibility,Automatic Wiper Motor,$150–$400
Glass & Visibility,Defroster Grid,$100–$250
Glass & Visibility,Heated Mirror,$150–$300
Glass & Visibility,Rear Window Defroster Switch,$50–$150
Glass & Visibility,Windshield Washer Pump,$20–$50
Glass & Visibility,Windshield Washer Reservoir,$50–$150
Glass & Visibility,Headlight Washer Nozzle,$20–$50
Glass & Visibility,Headlight Washer Pump,$50–$150
Glass & Visibility,Sunroof Drain Tube,$20–$50
Comfort & Convenience,Power Seat Motor,$150–$400
Comfort & Convenience,Seat Heater Element,$100–$250
Comfort & Convenience,Seat Ventilation Fan,$100–$250
Comfort & Convenience,Climate Control Module,$300–$700
Comfort & Convenience,Heated Steering Wheel,$200–$500
Comfort & Convenience,Power Window Switch,$50–$150
Comfort & Convenience,Power Door Lock Actuator,$100–$250
Comfort & Convenience,Keyless Entry Module,$200–$500
Comfort & Convenience,Remote Key Receiver,$100–$250
Comfort & Convenience,Trunk Release Actuator,$100–$250
Safety Systems,Blind Spot Sensor,$200–$500
Safety Systems,Lane Departure Sensor,$300–$700
Safety Systems,Adaptive Cruise Control Module,$500–$1200
Safety Systems,Collision Avoidance Sensor,$500–$1200
Safety Systems,Parking Assist Camera,$100–$300
Safety Systems,360-Degree Camera System,$800–$1500
Safety Systems,Driver Monitoring Camera,$500–$1000
Safety Systems,Pedestrian Detection Sensor,$500–$1200
Safety Systems,Automatic Emergency Braking Module,$800–$1500
Safety Systems,Electronic Stability Control Module,$500–$1200
Lighting (Advanced),LED Headlight,$300–$700
Lighting (Advanced),Matrix LED Headlight,$800–$1500
Lighting (Advanced),Adaptive Headlight,$500–$1200
Lighting (Advanced),Daytime Running Light Module,$100–$250
Lighting (Advanced),Sequential Turn Signal,$200–$500
Lighting (Advanced),Laser Headlight,$1500–$3000
Lighting (Advanced),Cornering Light,$200–$500
Lighting (Advanced),Interior Ambient Lighting Kit,$100–$300
Lighting (Advanced),Underbody Lighting Kit,$200–$500
Lighting (Advanced),Third Brake Light,$50–$150
Tools & Garage,Engine Hoist,$300–$700
Tools & Garage,Engine Stand,$100–$300
Tools & Garage,Transmission Jack,$200–$500
Tools & Garage,Brake Bleeder Kit,$50–$150
Tools & Garage,Vacuum Pump,$50–$150
Tools & Garage,Compression Tester,$30–$80
Tools & Garage,Fuel Pressure Tester,$30–$80
Tools & Garage,Cooling System Pressure Tester,$50–$150
Tools & Garage,Timing Light,$30–$80
Tools & Garage,Multimeter,$20–$60
Accessories,Floor Mats,$50–$150
Accessories,Seat Covers,$50–$150
Accessories,Steering Wheel Cover,$20–$60
Accessories,Shift Boot,$20–$50
Accessories,Sunshade,$20–$50
Accessories,Cargo Net,$20–$50
Accessories,Trunk Organizer,$30–$80
Accessories,Roof Cargo Box,$400–$800
Accessories,Bike Rack,$200–$500
Accessories,Ski Rack,$200–$500
Rare Components,Limited Slip Differential,$1000–$2500
Rare Components,Performance Driveshaft,$500–$1000
Rare Components,Carbon Fiber Hood,$800–$1500
Rare Components,Carbon Fiber Spoiler,$500–$1200
Rare Components,Carbon Fiber Fender,$400–$800
Rare Components,Carbon Fiber Roof,$1500–$3000
Rare Components,Carbon Fiber Trunk Lid,$800–$1500
Rare Components,Carbon Fiber Mirror Caps,$200–$500
Rare Components,Carbon Fiber Side Skirts,$500–$1200
Rare Components,Carbon Fiber Diffuser,$800–$1500
Aftermarket Extras,Body Kit,$1000–$3000
Aftermarket Extras,Widebody Kit,$2000–$5000
Aftermarket Extras,Lowering Springs,$200–$500
Aftermarket Extras,Coilover Suspension,$800–$1500
Aftermarket Extras,Big Brake Kit,$1500–$3000
Aftermarket Extras,Performance Exhaust Tip,$100–$300
Aftermarket Extras,Performance Intake Manifold,$500–$1200
Aftermarket Extras,Performance Fuel Rail,$200–$500
Aftermarket Extras,Performance Intercooler,$500–$1200
Aftermarket Extras,Performance Radiator,$400–$800
Specialty Lighting,LED Light Bar,$200–$500
Specialty Lighting,Off-Road Fog Lights,$150–$400
Specialty Lighting,Underbody Neon Kit,$200–$500
Specialty Lighting,Interior LED Kit,$100–$300
Specialty Lighting,Projector Headlights,$400–$800
Specialty Lighting,Halogen Headlights,$100–$250
Specialty Lighting,LED Taillights,$200–$500
Specialty Lighting,Sequential LED Taillights,$300–$700
Specialty Lighting,Third Brake Light LED,$50–$150
Specialty Lighting,License Plate LED,$20–$50
Specialty Electronics,Dash Cam,$100–$300
Specialty Electronics,Backup Camera Kit,$100–$300
Specialty Electronics,Parking Sensor Kit,$100–$250
Specialty Electronics,Alarm System,$200–$500
Specialty Electronics,Remote Start Kit,$200–$500
Specialty Electronics,Keyless Entry Kit,$200–$500
Specialty Electronics,Heads-Up Display Kit,$400–$800
Specialty Electronics,Infotainment Upgrade,$500–$1200
Specialty Electronics,Amplifier Upgrade,$200–$500
Specialty Electronics,Subwoofer,$150–$400
Miscellaneous,Trailer Hitch Ball,$20–$50
Miscellaneous,Trailer Hitch Mount,$50–$150
Miscellaneous,Trailer Brake Controller,$150–$400
Miscellaneous,Winch,$500–$1200
Miscellaneous,Tow Strap,$20–$50
Miscellaneous,Tow Hook,$50–$150
Miscellaneous,Roof Tent,$1000–$2500
Miscellaneous,Portable Fridge,$500–$1200
Miscellaneous,Jump Starter,$100–$250
Miscellaneous,Battery Charger,$100–$250

